dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941733034283,DNp19,720575941474741819,720575941463144336,DLM1,power,3,3,9
720575941733034283,DNp19,720575941474741819,720575941463144336,DLM1,power,3,13,39
720575941733034283,DNp19,720575941474741819,720575941468288375,hg3,steering,3,3,9
720575941733034283,DNp19,720575941474741819,720575941468288375,hg3,steering,3,5,15
720575941733034283,DNp19,720575941474741819,720575941479034563,DLM1,power,3,7,21
720575941733034283,DNp19,720575941474741819,720575941479034563,DLM1,power,3,9,27
720575941733034283,DNp19,720575941474741819,720575941479658831,hg2,steering,3,3,9
720575941733034283,DNp19,720575941474741819,720575941483845954,hg3,steering,3,4,12
720575941733034283,DNp19,720575941474741819,720575941507955269,DLM1,power,3,4,12
720575941733034283,DNp19,720575941474741819,720575941507955269,DLM1,power,3,4,12
720575941733034283,DNp19,720575941474741819,720575941519783640,DLM1,power,3,3,9
720575941733034283,DNp19,720575941474741819,720575941519783640,DLM1,power,3,3,9
720575941733034283,DNp19,720575941474741819,720575941533190337,DLM1,power,3,18,54
720575941733034283,DNp19,720575941474741819,720575941580669817,hg1,steering,3,4,12
720575941733034283,DNp19,720575941474741819,720575941583644382,DLM1,power,3,5,15
720575941733034283,DNp19,720575941474741819,720575941596050112,DLM5,power,3,7,21
720575941733034283,DNp19,720575941474741819,720575941624155644,b2,steering,3,6,18
720575941733034283,DNp19,720575941474741819,720575941624155644,b2,steering,3,11,33
720575941733034283,DNp19,720575941474741819,720575941640465439,DLM1,power,3,4,12
720575941733034283,DNp19,720575941474741819,720575941643100754,ps1,steering,3,4,12
720575941733034283,DNp19,720575941474741819,720575941643100754,ps1,steering,3,5,15
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,3,3,9
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,3,3,9
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,3,6,18
720575941733034283,DNp19,720575941474741819,720575941645403000,DLM1,power,3,4,12
720575941733034283,DNp19,720575941474741819,720575941645403000,DLM1,power,3,3,9
720575941733034283,DNp19,720575941474741819,720575941655597785,b2,steering,3,22,66
720575941733034283,DNp19,720575941474741819,720575941732789547,hg2,steering,3,3,9
720575941733034283,DNp19,720575941474741819,720575941732789547,hg2,steering,3,5,15
720575941733034283,DNp19,720575941475749994,720575941456201887,hg1,steering,4,6,24
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,4,7,28
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,4,13,52
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,4,3,12
720575941733034283,DNp19,720575941475749994,720575941474574132,b3,steering,4,3,12
720575941733034283,DNp19,720575941475749994,720575941475745898,i2,steering,4,3,12
720575941733034283,DNp19,720575941475749994,720575941542412805,b3,steering,4,4,16
720575941733034283,DNp19,720575941475749994,720575941542412805,b3,steering,4,4,16
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,4,4,16
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,4,14,56
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,4,4,16
720575941733034283,DNp19,720575941475749994,720575941547394081,i2,steering,4,3,12
720575941733034283,DNp19,720575941475749994,720575941547394081,i2,steering,4,3,12
720575941733034283,DNp19,720575941475749994,720575941580669817,hg1,steering,4,6,24
720575941733034283,DNp19,720575941475749994,720575941456201887,hg1,steering,3,6,18
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,3,7,21
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,3,13,39
720575941733034283,DNp19,720575941475749994,720575941468897856,i1,steering,3,3,9
720575941733034283,DNp19,720575941475749994,720575941474574132,b3,steering,3,3,9
720575941733034283,DNp19,720575941475749994,720575941475745898,i2,steering,3,3,9
720575941733034283,DNp19,720575941475749994,720575941542412805,b3,steering,3,4,12
720575941733034283,DNp19,720575941475749994,720575941542412805,b3,steering,3,4,12
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,3,4,12
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,3,14,42
720575941733034283,DNp19,720575941475749994,720575941547315060,i1,steering,3,4,12
720575941733034283,DNp19,720575941475749994,720575941547394081,i2,steering,3,3,9
720575941733034283,DNp19,720575941475749994,720575941547394081,i2,steering,3,3,9
720575941733034283,DNp19,720575941475749994,720575941580669817,hg1,steering,3,6,18
720575941733034283,DNp19,720575941481020925,720575941468897856,i1,steering,4,16,64
720575941733034283,DNp19,720575941481020925,720575941468897856,i1,steering,4,11,44
720575941733034283,DNp19,720575941481020925,720575941468897856,i1,steering,4,9,36
720575941733034283,DNp19,720575941481020925,720575941474574132,b3,steering,4,6,24
720575941733034283,DNp19,720575941481020925,720575941474574132,b3,steering,4,8,32
720575941733034283,DNp19,720575941481020925,720575941475745898,i2,steering,4,3,12
720575941733034283,DNp19,720575941481020925,720575941475745898,i2,steering,4,7,28
720575941733034283,DNp19,720575941481020925,720575941475745898,i2,steering,4,3,12
720575941733034283,DNp19,720575941481020925,720575941475745898,i2,steering,4,8,32
720575941733034283,DNp19,720575941481020925,720575941542412805,b3,steering,4,7,28
720575941733034283,DNp19,720575941481020925,720575941547315060,i1,steering,4,16,64
720575941733034283,DNp19,720575941481020925,720575941547315060,i1,steering,4,5,20
720575941733034283,DNp19,720575941481020925,720575941547394081,i2,steering,4,7,28
720575941733034283,DNp19,720575941481020925,720575941547394081,i2,steering,4,13,52
