dn_group,muscle,indirect_fraction
DNp69,i1,0.0010161410017940208
DNae003,i1,0.001012850496709153
DNut051,hg2,0.0010123142118390433
DNg01,iii3,0.0010110056170061026
DNg71,b2,0.001009360762915094
DNp19,iii3,0.0010045814083325217
DNg08,hg2,0.0010045673223986645
DNxn151,iii3,0.0010034338704134967
DNg111,iii1,0.001000987415629929
DNg98,iii1,0.001000627078394977
DNg36,iii4,0.000999135004310225
DNp06,hg3,0.000998237980653223
DNp26,ps1,0.0009930899011994256
DNg07,b3,0.0009928552931179144
DNxn181,hg2,0.000991728511063972
DNp18,iii4,0.0009893535041579685
DNut042,i1,0.0009886577752320858
DNp47,ps1,0.0009863996881986567
DNg98,DLM1,0.0009846975493780284
pIP9,DVM1A,0.0009836300143477627
DNp08,hg2,0.000979953084376448
DNg82,b2,0.0009774469164111703
DNg42,b2,0.0009767667254082142
DNp13,ps1,0.0009756700024459548
DNg106,b2,0.0009753072970058398
DNg99,DLM1,0.0009741866020885565
DNge148,DVM1A,0.0009727424178695894
DNg05,hg3,0.0009721553801276488
DNa04,ps1,0.0009719086474549807
DNp19,hg3,0.0009707722540254317
DNxn151,hg2,0.0009634987576793852
DNg04,hg4,0.0009619036932213448
DNg17,DLM5,0.000961830765294248
DNb05,hg1,0.0009610700099320611
DNxn140,DVM3A,0.0009584937954642703
DNp31,iii1,0.00095840320415314
DNg07,i2,0.0009581795755774802
DNge091,i1,0.0009579622048246573
DNa09,i1,0.0009578288629189552
DNxn183,DLM1,0.0009573108446283806
DNp13,DVM1A,0.0009549149535583825
DNp13,DLM1,0.0009540063340312754
DNg08,i2,0.0009501624532355454
DNpe005,b2,0.0009495103304380186
DNp49,ps1,0.0009482759416825562
DNut047,DLM5,0.0009474252360371861
DNut046,b3,0.000946036372393205
DNp73,iii3,0.000945784231343446
DNbe005,hg1,0.0009435365399087401
DNpe045,hg3,0.0009430816045091489
DNxn007,hg1,0.0009414558922478597
DNut040,ps1,0.0009414104499621451
DNg36,hg3,0.0009368657282569181
DNb04,iii3,0.0009358647028939507
DNg04,iii4,0.0009334473512579951
DNxn163,b2,0.0009314519777518748
DNp28,hg4,0.0009312440235794492
DNge083,i1,0.0009296562840645097
DNg32,b1,0.000928280153287265
DNpe010,DLM5,0.0009277918251163987
DNp59,DLM1,0.0009269794406830256
DNp33,b1,0.0009226297803999478
DNut053,hg3,0.0009208072902636494
DNb07,b1,0.0009192117386562889
DNb02,hg1,0.0009174496509196995
DNg91,iii3,0.0009155907732904536
DNxn155,iii4,0.0009150275701749952
DNg91,iii4,0.0009147675520647239
DNpe045,DLM5,0.0009128254762461392
DNa16,b2,0.0009121476422455678
DNxn183,hg4,0.0009088328699632665
DNp69,iii4,0.0009051323571196961
DNb05,hg4,0.0009051197737483887
DNd03,DLM1,0.0008972066270198799
DNpe014,hg1,0.0008944949722230749
DNb06,iii3,0.0008940430077759275
DNbe005,hg4,0.0008898813013487817
DNp31,b1,0.0008898483767354162
DNg108,iii4,0.0008896240192516107
DNp15,hg4,0.0008874510474796675
DNp73,hg2,0.0008873513898192862
DNg32,b2,0.000884583707813075
DNxn117,iii4,0.0008805340076335882
DNg05,hg2,0.0008793699658651851
DNp53,b3,0.0008771849989833341
DNp42,iii3,0.0008765035572537444
DNge083,i2,0.0008744449965728148
DNg82,DLM5,0.0008713694129144223
DNb06,b1,0.0008693058567645391
DNg106,iii4,0.0008691804542765228
DNut051,DLM5,0.0008686562626377777
DNut037,hg1,0.0008684615283993557
DNp60,iii4,0.0008683230552461042
DNp59,DLM5,0.0008670721096435425
DNge175,i2,0.0008668567643189203
DNp73,hg3,0.0008660117479306636
DNg70,DLM1,0.0008649956199093178
DNp19,DLM5,0.0008645781189541685
DNp63,DVM2A,0.0008635578679245854
DNp03,DVM3A,0.0008629584978797826
DNp72,b3,0.0008612498114447494
DNpe055,DVM2A,0.0008594120862613751
DNp72,b2,0.0008591638736302531
DNp07,b3,0.0008546916790350077
DNp03,i2,0.0008540608192542111
DNg05,hg4,0.0008539354744040316
DNg92,DVM1A,0.0008513723756667544
DNp11,iii4,0.0008495137387041729
DNp05,iii4,0.0008487542492039869
DNg99,DLM5,0.0008477057846391217
DNp33,i2,0.0008452715770844987
DNp06,hg2,0.0008450780036229522
