group_id,group_size,target_mn,groupwise_synapses,group_neurons
149.0,2.0,720575941583644382,112,"[7.205759414851355e+17, 7.2057594161492e+17]"
149.0,2.0,720575941596050112,140,"[7.205759414851355e+17, 7.2057594161492e+17]"
151.0,2.0,720575941468897856,90,"[7.205759414854222e+17, 7.205759414994477e+17]"
151.0,2.0,720575941475745898,50,"[7.205759414854222e+17, 7.205759414994477e+17]"
151.0,2.0,720575941547315060,67,"[7.205759414854222e+17, 7.205759414994477e+17]"
152.0,2.0,720575941643100754,139,"[7.205759414857751e+17, 7.205759415307872e+17]"
153.0,2.0,720575941472734048,88,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941487139138,79,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941499558369,98,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941530190027,92,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941597489344,159,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941603635190,163,"[7.205759414860896e+17, 7.205759415058351e+17]"
153.0,2.0,720575941624985226,102,"[7.205759414860896e+17, 7.205759415058351e+17]"
157.0,2.0,720575941459347411,149,"[7.205759414879107e+17, 7.205759415640346e+17]"
157.0,2.0,720575941483845954,79,"[7.205759414879107e+17, 7.205759415640346e+17]"
157.0,2.0,720575941630940642,233,"[7.205759414879107e+17, 7.205759415640346e+17]"
162.0,2.0,720575941472734048,182,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941487139138,130,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941499558369,102,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941530190027,69,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941597489344,133,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941603635190,194,"[7.205759414898191e+17, 7.205759416326735e+17]"
162.0,2.0,720575941624985226,75,"[7.205759414898191e+17, 7.205759416326735e+17]"
163.0,2.0,720575941549822781,97,"[7.205759414923086e+17, 7.205759415572941e+17]"
169.0,2.0,720575941475745898,131,"[7.205759414949697e+17, 7.205759416233281e+17]"
169.0,2.0,720575941547394081,149,"[7.205759414949697e+17, 7.205759416233281e+17]"
173.0,2.0,720575941521196211,75,"[7.205759414961467e+17, 7.20575941514097e+17]"
